735,738,741,744,747,750,753,756,759,762,765,768,771,774,777,780,783,786,789,792,795,798,801,804,807,810,813,816,819,822,825,828,831,834,837,840,843,846,849,852,855,858,861,864,867,870,873,876,879,882,885,888,891,894,897,900,903,906,909,912,915,918,921,924,927,930,933,936,939,942,945,948,951,954,957,960,963,966,969,972,975,978,981,984,987,990,993,996,999,1002,1005,1008,1011,1014,1017,1020,1023,1026,1029,1032,1035,1038,1041,1044,1047,DM,Fruit
-0.000159332,-0.000272321,-0.000305946,-0.000270964,-0.000217969,-0.000169003,-0.000135387,-0.000115923,-0.00010199,-9.17e-05,-8.17e-05,-6.91e-05,-6.37e-05,-5.82e-05,-5.14e-05,-3.44e-05,-1.54e-05,6.74e-06,2.85e-05,4.99e-05,6.86e-05,9.31e-05,0.000122632,0.000158615,0.000196953,0.000253833,0.000321422,0.000388154,0.00042914,0.000409233,0.000299927,0.000121654,-7.74e-05,-0.000231826,-0.000309004,-0.000298885,-0.000227651,-0.000145353,-7.84e-05,-2.97e-05,2.8e-07,2.5e-05,5.52e-05,8.88e-05,0.000120068,0.000144232,0.000152963,0.0001537,0.000145321,0.000118738,9.63e-05,5.72e-05,3.6e-05,3.23e-05,3.77e-05,6.79e-05,0.000125646,0.00020751,0.000324151,0.000447517,0.00061375,0.000781993,0.000889924,0.000933397,0.000928674,0.000879867,0.000838813,0.000851525,0.000908569,0.000910395,0.000744239,0.000393325,-0.000180305,-0.000869582,-0.001435664,-0.001773949,-0.001932385,-0.00178403,-0.001456152,-0.001206217,-0.001093004,-0.000989809,-0.00085118,-0.00075065,-0.000703019,-0.00053356,-0.000355722,-0.000484926,-0.000570758,-0.000456472,-0.000423846,-0.000339672,-0.000266696,-0.000184356,-0.000113632,-0.000126781,0.00012916,0.000335211,0.000176793,0.000180236,0.00026504,0.000195796,0.000189073,0.000321521,0.000481721,17.21,0
-0.000164989,-0.00028259,-0.000314638,-0.000286609,-0.000230862,-0.000180272,-0.000143097,-0.000122874,-0.000109404,-9.7e-05,-8.69e-05,-8.3e-05,-8.24e-05,-7.53e-05,-6.68e-05,-4.95e-05,-2.67e-05,-6.27e-07,2.23e-05,4.53e-05,7.27e-05,0.00010843,0.000131338,0.000167612,0.000202247,0.000246108,0.00031629,0.000392786,0.000437862,0.000410587,0.000293293,0.000117024,-8.47e-05,-0.000242292,-0.000304178,-0.000282352,-0.000230981,-0.000157026,-8.7e-05,-4.58e-05,-1.22e-05,2.4e-05,6.03e-05,9.17e-05,0.00011592,0.000148118,0.000164123,0.00014501,0.00013945,0.000127864,8.67e-05,6.26e-05,5.41e-05,4.25e-05,4.1e-05,5.56e-05,0.000117963,0.000206011,0.000306898,0.000455415,0.000607542,0.000729414,0.000841692,0.00087654,0.00086291,0.000827734,0.000779303,0.000788844,0.000837756,0.000833141,0.000719981,0.000376106,-0.000207563,-0.000866781,-0.001377193,-0.001738601,-0.001816652,-0.001651812,-0.001414678,-0.001190349,-0.001048242,-0.000891139,-0.000740912,-0.000725226,-0.000594667,-0.000446197,-0.000516394,-0.000512539,-0.000430135,-0.000393859,-0.000460956,-0.000354213,-0.000150731,-0.000177108,-0.000184809,4.75e-05,9.47e-05,-1.22e-05,5.9e-05,0.000276688,0.000267576,0.000250866,0.000457149,0.000391574,0.000170006,17.56,0
-0.000156973,-0.000284778,-0.000316814,-0.000279678,-0.000211542,-0.0001513,-0.000113974,-9.81e-05,-9.1e-05,-8.66e-05,-8.41e-05,-8.24e-05,-7.7e-05,-7.17e-05,-6.45e-05,-4.71e-05,-2.34e-05,1.97e-06,2.59e-05,5.25e-05,7.59e-05,0.000102362,0.000135075,0.000174757,0.000216725,0.000276395,0.000355471,0.000437716,0.000483435,0.000453709,0.000323519,0.000116183,-0.000105983,-0.000271825,-0.000346927,-0.000328678,-0.000249273,-0.000164836,-0.000100765,-5.17e-05,-1.43e-05,2.17e-05,5.9e-05,9.43e-05,0.000126913,0.000143613,0.000148501,0.000148285,0.000142222,0.000114496,7.9e-05,4.51e-05,2.41e-05,2e-05,3.86e-05,8.51e-05,0.000157129,0.00024292,0.000365386,0.000510627,0.000667376,0.000844257,0.000955941,0.000981068,0.000940778,0.000861515,0.000789447,0.000768235,0.000801094,0.000832413,0.000698414,0.000306988,-0.000278045,-0.000955339,-0.001558994,-0.001909404,-0.001937924,-0.001747142,-0.001450916,-0.001178236,-0.000976332,-0.000868597,-0.000789758,-0.000699537,-0.000626542,-0.00058323,-0.000502574,-0.000444272,-0.000397241,-0.000385873,-0.000357698,-0.000336095,-0.000309758,-0.000254552,-0.000152518,-7.48e-05,7.06e-06,8.15e-05,0.000190181,0.000268441,0.000309764,0.000343191,0.00041317,0.000365665,0.000440305,14.6,0
-0.000262502,-0.000372458,-0.000391047,-0.000345986,-0.000272122,-0.00020281,-0.000154207,-0.000126149,-0.000108146,-9.65e-05,-8.97e-05,-8.61e-05,-7.53e-05,-6.82e-05,-5.78e-05,-3.88e-05,-1.82e-05,3.13e-06,2.2e-05,4.54e-05,6.97e-05,9.41e-05,0.000127709,0.000167484,0.000206918,0.000265361,0.000340881,0.000418324,0.000463092,0.000435773,0.000313411,0.000119105,-9.35e-05,-0.000253392,-0.000325732,-0.000311915,-0.000239875,-0.000160616,-9.75e-05,-4.94e-05,-1.01e-05,2.47e-05,6.13e-05,9.56e-05,0.000124947,0.000141054,0.000151081,0.000150186,0.000144705,0.000123576,8.83e-05,5.12e-05,2.71e-05,1.86e-05,3.29e-05,7.3e-05,0.000145989,0.000238698,0.000358505,0.000497831,0.000660468,0.00084409,0.000956746,0.001003437,0.000985886,0.000927287,0.000873823,0.000861741,0.000902126,0.000927267,0.000780542,0.000402601,-0.00023267,-0.000966229,-0.00160656,-0.001983294,-0.002052608,-0.001853311,-0.001526899,-0.001233283,-0.001047087,-0.000913233,-0.000819169,-0.00075949,-0.000706475,-0.000630345,-0.000590028,-0.000506589,-0.000454382,-0.000437335,-0.000369376,-0.000264247,-0.000216337,-0.000176359,-0.000148888,-5.73e-05,1.46e-05,5.86e-05,0.000143655,0.000255096,0.000278036,0.000284244,0.000304384,0.000351837,0.000458176,15.66,0
-0.000291633,-0.00040962,-0.000426443,-0.000373215,-0.000287605,-0.000212144,-0.000161,-0.000133999,-0.000119453,-0.000109636,-0.000106203,-0.000104431,-9.5e-05,-8.77e-05,-7.78e-05,-5.9e-05,-3.82e-05,-1.15e-05,1.52e-05,5.12e-05,8.78e-05,0.000118715,0.000152384,0.000189222,0.000229454,0.000291495,0.000374119,0.000465849,0.0005193,0.000484225,0.000345743,0.000129391,-0.000105468,-0.000284744,-0.00035956,-0.000339895,-0.000265421,-0.000182988,-0.000112202,-5.74e-05,-1.42e-05,2.9e-05,7.57e-05,0.000110103,0.000132824,0.000146432,0.000151767,0.000141518,0.000129111,0.000112201,8.56e-05,5.65e-05,3.1e-05,2.31e-05,4.4e-05,8.76e-05,0.000158458,0.000257182,0.000384746,0.000534827,0.000714609,0.000904728,0.001022973,0.001063154,0.001023088,0.000936245,0.000881976,0.000887689,0.000945953,0.000965958,0.000787008,0.00035676,-0.00031802,-0.00109028,-0.001698944,-0.002060343,-0.002127989,-0.001892674,-0.001580777,-0.001290773,-0.001033415,-0.000853468,-0.000750521,-0.000734312,-0.000755184,-0.000767284,-0.000733486,-0.000579652,-0.000427466,-0.000333501,-0.00028429,-0.000329171,-0.000350407,-0.000291339,-0.000136689,3.92e-05,7.07e-05,9e-06,2.98e-07,7.78e-05,0.000233152,0.000397691,0.000542867,0.000545073,0.000481874,15.07,0
-0.000194892,-0.000298376,-0.000316391,-0.000276844,-0.000218021,-0.000167346,-0.000137051,-0.000122138,-0.000112743,-0.000107502,-0.000102181,-9.7e-05,-9.01e-05,-8.8e-05,-8.27e-05,-6.19e-05,-4.06e-05,-1.2e-05,1.96e-05,5.16e-05,7.93e-05,0.000103416,0.00013082,0.000161463,0.000183274,0.000230692,0.000300667,0.00037702,0.000424992,0.000407138,0.000296064,0.000115419,-8.39e-05,-0.000232833,-0.000297698,-0.000288109,-0.000220304,-0.00014085,-7.43e-05,-2.72e-05,1.43e-06,2.09e-05,5.02e-05,7.98e-05,0.000109971,0.000129585,0.000140212,0.000132632,0.000126729,0.000106867,9.09e-05,6.74e-05,4.14e-05,2.46e-05,2.61e-05,5.36e-05,0.000118116,0.0002018,0.000327364,0.000454499,0.000621138,0.00078903,0.000893847,0.000942393,0.000931181,0.000883195,0.000849789,0.000852061,0.000926333,0.000965032,0.000813188,0.000419277,-0.000228399,-0.000921506,-0.001549068,-0.001869025,-0.001910059,-0.001715633,-0.001467834,-0.001236032,-0.001076797,-0.000941203,-0.000852915,-0.000716976,-0.000645905,-0.000555057,-0.00048784,-0.000423741,-0.000441689,-0.000477927,-0.000467298,-0.000405865,-0.000301887,-0.000169611,-2.95e-05,-8.14e-06,6.65e-06,0.000127612,0.000177734,0.000190337,0.000276618,0.000218642,0.000232905,0.000352729,0.000552056,17.54,0
-0.000117913,-0.0002468,-0.000289746,-0.000270529,-0.000219419,-0.000172651,-0.000144034,-0.000132983,-0.000122913,-0.000110523,-9.91e-05,-9.42e-05,-8.94e-05,-9.24e-05,-9.05e-05,-7.28e-05,-4.58e-05,-1.07e-05,2.26e-05,5.69e-05,8.56e-05,0.000111513,0.000139858,0.000175794,0.000206614,0.000254829,0.000318636,0.000393446,0.000444893,0.000430272,0.000321712,0.000137925,-7.71e-05,-0.000243856,-0.000326442,-0.000319766,-0.000250156,-0.000168103,-0.000102934,-4.86e-05,-3.99e-06,3.69e-05,6.89e-05,9.56e-05,0.000132076,0.000157244,0.000153679,0.000153839,0.000153055,0.000135525,9.67e-05,5.99e-05,4.11e-05,2.39e-05,1.77e-05,6.43e-05,0.000147226,0.000235261,0.000338265,0.000459097,0.00060276,0.000771665,0.000883051,0.000951192,0.000956253,0.000912748,0.000872463,0.00084561,0.000861509,0.000897459,0.000779516,0.000439717,-0.000115807,-0.000855421,-0.001544968,-0.002003331,-0.002032911,-0.00172155,-0.001419404,-0.001179602,-0.000973177,-0.000927082,-0.00091625,-0.000862994,-0.000740689,-0.000576719,-0.000576945,-0.000500352,-0.000307827,-0.000410886,-0.00048813,-0.000434458,-0.000332703,-0.000140197,-0.000103642,1.84e-05,9.2e-05,-3e-05,0.000116604,0.00023107,0.000260265,0.000513784,0.000357337,0.000274384,4.05e-05,19.38,0
-0.000230211,-0.000335903,-0.000354294,-0.000305284,-0.000231705,-0.000159649,-0.000106465,-8.14e-05,-7.3e-05,-6.49e-05,-6.29e-05,-5.93e-05,-5.15e-05,-4.69e-05,-3.59e-05,-2.43e-05,-6.4e-06,1.81e-05,3.62e-05,5.52e-05,7.56e-05,9.67e-05,0.000131832,0.000165609,0.000203249,0.000271495,0.000346987,0.000425527,0.000479247,0.000455802,0.000328427,0.000121689,-0.000101905,-0.000260687,-0.000335082,-0.000318717,-0.000230905,-0.000150992,-8.93e-05,-4.43e-05,-7.12e-06,2.69e-05,6.02e-05,9.39e-05,0.000128279,0.000123965,0.000138854,0.000146071,0.000140152,0.000113802,7.76e-05,5.56e-05,2e-05,-9.37e-06,2.64e-05,7.63e-05,0.000138981,0.000250242,0.000390835,0.000528057,0.00069369,0.00086644,0.000993414,0.001011152,0.000956468,0.000921981,0.000870588,0.000850325,0.000922644,0.000920395,0.000720187,0.000318854,-0.000289936,-0.000986266,-0.001609228,-0.001935512,-0.001994087,-0.001832149,-0.001567267,-0.001227049,-0.000984506,-0.00086692,-0.00077591,-0.000680699,-0.000679624,-0.000633235,-0.000616174,-0.000703249,-0.000532299,-0.000482822,-0.00034323,-0.000168595,-0.000126991,-9.66e-05,-0.000111437,-0.000125776,0.000168477,0.000169418,0.000120236,0.000122436,2.3e-05,-6.95e-05,0.000429089,0.000518143,0.000438783,12.87,0
8.5e-06,-0.000154007,-0.000211723,-0.00019442,-0.000145131,-0.000107596,-8.78e-05,-8.27e-05,-8.58e-05,-9.23e-05,-9.81e-05,-0.000100054,-9.81e-05,-9.37e-05,-8.4e-05,-6.36e-05,-4.21e-05,-1.35e-05,1.58e-05,4.71e-05,7.87e-05,0.000112079,0.000143961,0.000180683,0.000225826,0.000293749,0.000382225,0.000467227,0.000516255,0.000486127,0.000346418,0.00012249,-0.000114848,-0.000289722,-0.000366137,-0.000345637,-0.000259525,-0.000163987,-0.0001011,-5.88e-05,-1.85e-05,2.55e-05,6.54e-05,0.000104825,0.000137647,0.000157398,0.000153633,0.000141603,0.000145642,0.000120367,8.73e-05,5.66e-05,2.58e-05,2.01e-05,3.59e-05,7.97e-05,0.000176812,0.000281305,0.000412561,0.000581403,0.000756359,0.00096616,0.001089765,0.001120198,0.001091284,0.001017829,0.000964576,0.000982285,0.001041939,0.001087617,0.000910382,0.000452724,-0.000308666,-0.001160683,-0.001840421,-0.002276023,-0.00234487,-0.002092456,-0.001685796,-0.001337775,-0.001142872,-0.001004752,-0.000906171,-0.000869846,-0.000774951,-0.000645168,-0.00052063,-0.000517729,-0.000575907,-0.00057313,-0.000502349,-0.000390961,-0.000282311,-0.000184715,-8.61e-05,-6.8e-05,2.62e-05,0.000185077,0.000269611,0.000329173,0.000257512,0.000147236,0.000362064,0.00035583,0.000521734,13.6,0
